101,Rajdhani Express,New Delhi,Mumbai Central,16:55,08:35,120
102,Shatabdi Express,New Delhi,Chandigarh,07:40,10:55,80
103,Duronto Express,Kolkata,New Delhi,20:00,13:30,150
104,Gatimaan Express,New Delhi,Agra Cantt,08:10,09:50,60
105,Vande Bharat Express,Varanasi,New Delhi,06:00,14:00,100
106,Garib Rath Express,Patna,New Delhi,20:30,09:15,200
107,Jan Shatabdi Express,Lucknow,Delhi,06:15,12:30,90
108,Intercity Express,Kanpur,Lucknow,08:00,09:30,75
109,Howrah Mail,Howrah,Chennai Central,22:00,04:45,180
110,Tamil Nadu Express,New Delhi,Chennai Central,22:30,07:00,140
111,Kerala Express,New Delhi,Thiruvananthapuram,11:25,15:45,160
112,Goa Express,New Delhi,Madgaon,15:00,17:25,110
113,Punjab Mail,Mumbai Central,Firozpur Cantt,19:35,06:00,130
114,Deccan Queen,Mumbai CST,Pune,17:10,20:25,70
115,Malwa Express,Indore,Jammu Tawi,11:20,09:10,125
116,Sampark Kranti,Bhopal,New Delhi,18:40,06:50,95
117,Utkal Express,Haridwar,Puri,13:15,19:20,150
118,Kalinga Utkal Express,Puri,New Delhi,06:45,12:00,145
119,Amarnath Express,Jammu Tawi,Kolkata,09:00,18:30,135
120,Humsafar Express,Gorakhpur,Anand Vihar,20:20,08:15,100
